table_name,date,size_mb,rows,action
monitor_combine_20260309,2026-03-09,0.1,234,archive_then_drop
monitor_combine_20260310,2026-03-10,0.1,212,archive_then_drop
monitor_combine_20260311,2026-03-11,0.2,529,archive_then_drop
monitor_combine_20260320,2026-03-20,0.4,534,archive_then_drop
monitor_combine_20260323,2026-03-23,0.0,4,archive_then_drop
monitor_combine_20260324,2026-03-24,0.1,45,archive_then_drop
monitor_combine_20260325,2026-03-25,0.1,100,archive_then_drop
monitor_combine_20260326,2026-03-26,0.1,73,archive_then_drop
monitor_combine_20260327,2026-03-27,0.1,109,archive_then_drop
monitor_combine_20260330,2026-03-30,0.1,81,archive_then_drop
monitor_combine_20260331,2026-03-31,0.1,119,archive_then_drop
monitor_combine_20260401,2026-04-01,0.1,90,archive_then_drop
monitor_combine_20260402,2026-04-02,0.1,145,archive_then_drop
monitor_combine_20260403,2026-04-03,0.2,265,archive_then_drop
monitor_combine_20260407,2026-04-07,0.0,25,archive_then_drop
monitor_combine_20260408,2026-04-08,0.1,53,archive_then_drop
monitor_combine_20260409,2026-04-09,0.2,228,archive_then_drop
monitor_combine_20260410,2026-04-10,0.0,11,archive_then_drop
monitor_combine_20260413,2026-04-13,0.1,118,archive_then_drop
monitor_combine_20260414,2026-04-14,0.1,208,archive_then_drop
monitor_gp_apqd_20260309,2026-03-09,1.5,4522,archive_then_drop
monitor_gp_apqd_20260310,2026-03-10,1.5,4590,archive_then_drop
monitor_gp_apqd_20260311,2026-03-11,1.5,4273,archive_then_drop
monitor_gp_apqd_20260312,2026-03-12,1.5,4083,archive_then_drop
monitor_gp_apqd_20260313,2026-03-13,1.5,4452,archive_then_drop
monitor_gp_apqd_20260319,2026-03-19,0.4,1507,archive_then_drop
monitor_gp_apqd_20260320,2026-03-20,1.5,4424,archive_then_drop
monitor_gp_apqd_20260323,2026-03-23,1.5,3033,archive_then_drop
monitor_gp_apqd_20260324,2026-03-24,1.5,4287,archive_then_drop
monitor_gp_apqd_20260325,2026-03-25,1.5,3492,archive_then_drop
monitor_gp_apqd_20260326,2026-03-26,1.5,4821,archive_then_drop
monitor_gp_apqd_20260327,2026-03-27,1.5,4785,archive_then_drop
monitor_gp_apqd_20260330,2026-03-30,1.5,4359,archive_then_drop
monitor_gp_apqd_20260331,2026-03-31,1.5,4642,archive_then_drop
monitor_gp_apqd_20260401,2026-04-01,1.7,3490,archive_then_drop
monitor_gp_apqd_20260402,2026-04-02,1.7,4351,archive_then_drop
monitor_gp_apqd_20260403,2026-04-03,1.7,3470,archive_then_drop
monitor_gp_apqd_20260407,2026-04-07,1.7,3846,archive_then_drop
monitor_gp_apqd_20260408,2026-04-08,1.7,4137,archive_then_drop
monitor_gp_apqd_20260409,2026-04-09,1.7,4110,archive_then_drop
monitor_gp_apqd_20260410,2026-04-10,1.7,3907,archive_then_drop
monitor_gp_apqd_20260413,2026-04-13,1.7,4447,archive_then_drop
monitor_gp_apqd_20260414,2026-04-14,1.6,3325,archive_then_drop
monitor_gp_sssj_20260309,2026-03-09,3765.0,19971460,archive_then_drop
monitor_gp_sssj_20260310,2026-03-10,4124.0,22289662,archive_then_drop
monitor_gp_sssj_20260311,2026-03-11,4189.0,22157802,archive_then_drop
monitor_gp_sssj_20260313,2026-03-13,3974.0,21314375,archive_then_drop
monitor_gp_sssj_20260319,2026-03-19,1524.0,8010341,archive_then_drop
monitor_gp_sssj_20260320,2026-03-20,4392.0,23357401,archive_then_drop
monitor_gp_sssj_20260323,2026-03-23,3360.0,17427530,archive_then_drop
monitor_gp_sssj_20260324,2026-03-24,6430.0,23735857,archive_then_drop
monitor_gp_sssj_20260325,2026-03-25,4051.0,17401776,archive_then_drop
monitor_gp_sssj_20260326,2026-03-26,5638.0,22992690,archive_then_drop
monitor_gp_sssj_20260327,2026-03-27,5423.0,22981701,archive_then_drop
monitor_gp_sssj_20260330,2026-03-30,5101.0,21440943,archive_then_drop
monitor_gp_sssj_20260331,2026-03-31,5688.0,24351412,archive_then_drop
monitor_gp_sssj_20260401,2026-04-01,4311.0,19179993,archive_then_drop
monitor_gp_sssj_20260402,2026-04-02,8037.0,22948538,archive_then_drop
monitor_gp_sssj_20260403,2026-04-03,7352.0,19817704,archive_then_drop
monitor_gp_sssj_20260407,2026-04-07,7280.0,20024622,archive_then_drop
monitor_gp_sssj_20260408,2026-04-08,7592.0,20500650,archive_then_drop
monitor_gp_sssj_20260409,2026-04-09,7845.0,21214138,archive_then_drop
monitor_gp_sssj_20260410,2026-04-10,7592.0,20471636,archive_then_drop
monitor_gp_sssj_20260413,2026-04-13,7875.0,22978184,archive_then_drop
monitor_gp_sssj_20260414,2026-04-14,2871.0,18550605,archive_then_drop
monitor_gp_top30_20260309,2026-03-09,24.6,130290,archive_then_drop
monitor_gp_top30_20260310,2026-03-10,25.6,137772,archive_then_drop
monitor_gp_top30_20260311,2026-03-11,23.6,128312,archive_then_drop
monitor_gp_top30_20260312,2026-03-12,490.0,1887439,archive_then_drop
monitor_gp_top30_20260313,2026-03-13,307.9,936732,archive_then_drop
monitor_gp_top30_20260319,2026-03-19,109.7,341922,archive_then_drop
monitor_gp_top30_20260320,2026-03-20,4.5,12642,archive_then_drop
